times,prices,sellBuyHold,confidence
0,28615.52,1,0.6724911
1,28706.98,1,0.6556084
2,28661.68,1,0.6586652
3,28653.93,1,0.6447363
4,28632.19,1,0.6470611
5,28617.84,1,0.63797003
6,28654.77,1,0.59026116
7,28632.36,1,0.60406387
8,28610.86,1,0.60583407
9,28614.99,1,0.56692266
10,28614.66,1,0.57704425
11,28448.52,1,0.6840595
12,28526.34,1,0.62783456
13,28551.07,1,0.5866947
14,28547.22,1,0.57385635
15,28547.22,1,0.50917846
16,28589.7,2,0.47462597
17,28595.01,2,0.49440935
18,28578.6,2,0.47347492
19,28618.83,2,0.5307708
20,28605.09,2,0.5258265
21,28599.66,2,0.5185668
22,28583.0,2,0.52242774
23,28572.24,2,0.52181834
24,28620.51,2,0.57334715
25,28659.99,2,0.63171184
26,28648.63,2,0.6887361
27,28664.1,2,0.6793922
28,28688.62,2,0.7048213
29,28680.39,2,0.6995839
30,28669.28,2,0.69511324
31,28660.39,2,0.7145623
32,28687.35,2,0.7267599
33,28698.04,2,0.73454034
34,28703.12,2,0.7443089
35,28677.2,2,0.76123327
36,28694.55,2,0.77459586
37,28685.55,2,0.79777515
38,28698.07,2,0.8022557
39,28707.33,2,0.8083223
40,28836.89,2,0.7121246
41,28789.82,2,0.6965641
42,28762.95,2,0.70975167
43,28763.54,2,0.7131005
44,28754.97,2,0.7243908
45,28782.98,2,0.7130934
46,28775.5,2,0.72118914
47,28791.69,2,0.7236981
48,28806.21,2,0.71703905
49,28858.18,2,0.57164425
50,28885.89,2,0.5234048
51,28903.18,2,0.5169834
52,28880.59,2,0.5533533
53,28868.29,2,0.5777307
54,28910.6,2,0.53232783
55,28943.4,2,0.6093708
56,28935.26,2,0.5809557
57,28911.71,2,0.6025434
58,28910.79,2,0.5893556
59,28882.96,2,0.6254853
60,28934.97,2,0.6191214
61,28890.82,2,0.6424538
62,28866.74,2,0.68831444
63,28865.58,2,0.71361095
64,28877.69,2,0.7050451
65,28862.55,2,0.7439663
66,28869.09,2,0.7738367
67,28860.17,2,0.8016694
68,28868.44,2,0.79810554
69,28861.74,2,0.8132565
70,28843.97,2,0.83495694
71,28818.02,2,0.8295106
72,28802.65,2,0.8255207
73,28830.02,2,0.8412383
74,28869.23,2,0.83515835
75,28852.02,2,0.83946675
76,28815.35,2,0.8298502
77,28826.64,2,0.8361976
78,28823.98,2,0.8377181
79,28807.41,2,0.83858186
80,28846.98,2,0.84404653
81,28801.16,2,0.8361646
82,28798.67,2,0.8367251
83,28811.76,2,0.8433093
84,28766.79,2,0.8265609
85,28796.06,2,0.8317393
86,28771.32,2,0.8261345
87,28778.52,2,0.8366057
88,28769.87,2,0.82478535
89,28753.29,2,0.8071076
90,28694.36,2,0.73915493
91,28666.56,2,0.69634366
92,28695.93,2,0.7083999
93,28766.78,2,0.761932
