times,prices,sellBuyHold,confidence
0,28362.65,2,0.48305964
1,28337.49,2,0.5289598
2,28302.36,2,0.5578123
3,28278.49,2,0.5500303
4,28245.73,2,0.5121609
5,28221.96,2,0.47677997
6,28255.98,2,0.5223733
7,28283.96,2,0.54805374
8,28275.37,2,0.5564893
9,28221.36,2,0.47423133
10,28276.1,2,0.5156946
11,28276.09,2,0.5305504
12,28246.52,2,0.5062809
13,28260.99,2,0.5174474
14,28259.23,2,0.51697886
15,28221.33,2,0.4802134
16,28238.01,2,0.49445674
17,28228.36,2,0.49549478
18,28221.34,2,0.48950624
19,28190.89,1,0.45136768
20,28117.38,1,0.5779574
21,28152.8,1,0.5291246
22,28131.66,1,0.54125303
23,28114.4,1,0.55561674
24,28079.07,1,0.59840935
25,28144.74,1,0.49758166
26,28178.98,2,0.43906367
27,28172.45,2,0.45251754
28,28144.79,1,0.45153853
29,28138.4,1,0.46179375
30,28138.44,1,0.44836155
31,28158.43,2,0.4875559
32,28213.9,2,0.51847285
33,28157.95,2,0.4874307
34,28177.1,2,0.50713885
35,28184.38,2,0.5230442
36,28359.31,0,0.42125428
37,28294.32,2,0.4125406
38,28248.75,2,0.43163458
39,28285.16,2,0.43171245
40,28263.35,2,0.45074064
41,28243.9,2,0.47167486
42,28219.4,2,0.49120912
43,28228.19,2,0.5046792
44,28239.75,2,0.5054353
45,28191.9,2,0.49484468
46,28045.09,1,0.56017387
47,28069.59,1,0.5502019
48,27970.08,1,0.65051675
49,28027.79,1,0.55314946
50,28014.73,1,0.5452778
51,28047.91,1,0.48109525
52,28029.76,1,0.49608895
53,27972.19,1,0.57291335
54,28036.31,1,0.47205308
55,28079.93,2,0.38732
56,28079.06,2,0.404559
57,28087.68,2,0.41462913
58,28078.89,2,0.4200902
59,28061.08,1,0.41155198
60,28088.0,2,0.40483972
61,28033.63,1,0.46120384
62,28059.24,1,0.4191443
63,28059.22,2,0.41151658
64,28121.36,2,0.40611327
65,28107.54,2,0.4278718
66,28098.1,2,0.4513519
67,28079.97,2,0.452706
68,28054.68,2,0.43231976
69,28037.88,1,0.42799133
70,28075.37,2,0.44404778
71,28008.12,1,0.4588148
72,28000.0,1,0.4796036
73,27984.61,1,0.49571458
74,27935.43,1,0.5627374
75,27948.99,1,0.53910977
76,27955.25,1,0.5074418
77,28003.04,2,0.40788633
78,27999.25,2,0.42029342
79,27987.36,2,0.42545065
80,27991.47,2,0.4391392
81,27948.04,1,0.47256163
82,28050.19,2,0.4233179
83,27987.05,2,0.42813578
84,27993.41,2,0.4382135
85,27975.6,2,0.42302656
86,27987.23,2,0.42695513
87,28023.09,2,0.43024644
88,27991.64,2,0.43726858
89,27982.16,2,0.4410399
90,28020.65,2,0.44888878
91,28017.45,2,0.4561392
